"Plantable million hectares/year, bid qty per contract","$/hectare Loblolly Pine, 150 years","$/hectare ponderosa pine, 150 years","$/hectare black walnut, 150 years","$/hectare Loblolly Pine, 10 years","$/hectare ponderosa pine, 10 years","$/hectare black walnut, 10 years","$/hectare Loblolly Pine, 24 years","$/hectare ponderosa pine, 103 years","$/hectare black walnut, 55 years"
0.111111111,15212.359,27945.0743,16229.2989,1688.8005,879.7587,1065.2054,6753.224,21597.8548,7857.9913
0.111111111,15290.3267,28088.3007,16312.4787,1697.4561,884.2677,1070.6649,6787.8362,21708.5499,7898.2657
0.111111111,15368.2944,28231.5272,16395.6584,1706.1117,888.7768,1076.1244,6822.4484,21819.2451,7938.5402
0.111111111,15446.2621,28374.7537,16478.8382,1714.7673,893.2858,1081.5838,6857.0606,21929.9402,7978.8146
0.111111111,15524.2297,28517.9801,16562.018,1723.4229,897.7948,1087.0433,6891.6728,22040.6354,8019.0891
0.111111111,15602.1974,28661.2066,16645.1978,1732.0784,902.3038,1092.5028,6926.285,22151.3305,8059.3635
0.111111111,15680.1651,28804.433,16728.3775,1740.734,906.8128,1097.9623,6960.8972,22262.0257,8099.6379
0.111111111,15758.1327,28947.6595,16811.5573,1749.3896,911.3218,1103.4218,6995.5094,22372.7208,8139.9124
0.111111111,15836.1004,29090.886,16894.7371,1758.0452,915.8308,1108.8812,7030.1216,22483.416,8180.1868
0.111111111,15914.0681,29234.1124,16977.9169,1766.7008,920.3399,1114.3407,7064.7338,22594.1112,8220.4613
0.111111111,15992.0358,29377.3389,17061.0967,1775.3564,924.8489,1119.8002,7099.346,22704.8063,8260.7357
0.111111111,16070.0034,29520.5654,17144.2764,1784.0119,929.3579,1125.2597,7133.9582,22815.5015,8301.0102
0.111111111,16147.9711,29663.7918,17227.4562,1792.6675,933.8669,1130.7192,7168.5704,22926.1966,8341.2846
0.111111111,16225.9388,29807.0183,17310.636,1801.3231,938.3759,1136.1786,7203.1826,23036.8918,8381.559
0.111111111,16303.9064,29950.2447,17393.8158,1809.9787,942.8849,1141.6381,7237.7947,23147.5869,8421.8335
0.111111111,16381.8741,30093.4712,17476.9955,1818.6343,947.3939,1147.0976,7272.4069,23258.2821,8462.1079
0.111111111,16459.8418,30236.6977,17560.1753,1827.2899,951.903,1152.5571,7307.0191,23368.9772,8502.3824
0.111111111,16537.8095,30379.9241,17643.3551,1835.9454,956.412,1158.0166,7341.6313,23479.6724,8542.6568
0.111111111,16615.7771,30523.1506,17726.5349,1844.601,960.921,1163.4761,7376.2435,23590.3676,8582.9313
0.111111111,16693.7448,30666.3771,17809.7147,1853.2566,965.43,1168.9355,7410.8557,23701.0627,8623.2057
0.111111111,16771.7125,30809.6035,17892.8944,1861.9122,969.939,1174.395,7445.4679,23811.7579,8663.4801
0.111111111,16849.6801,30952.83,17976.0742,1870.5678,974.448,1179.8545,7480.0801,23922.453,8703.7546
0.111111111,16927.6478,31096.0564,18059.254,1879.2234,978.957,1185.314,7514.6923,24033.1482,8744.029
0.111111111,17005.6155,31239.2829,18142.4338,1887.8789,983.4661,1190.7735,7549.3045,24143.8433,8784.3035
0.111111111,17083.5832,31382.5094,18225.6135,1896.5345,987.9751,1196.2329,7583.9167,24254.5385,8824.5779
0.111111111,17161.5508,31525.7358,18308.7933,1905.1901,992.4841,1201.6924,7618.5289,24365.2336,8864.8524
0.111111111,17239.5185,31668.96232,18391.97305,1913.845694,996.9931155,1207.151867,7653.141082,24475.92879,8905.126815
